Well,Luminescence
A1,14.0
A2,7.0
A3,-5.0
A4,14.0
A5,13.0
A6,17.0
B1,3.0
B2,2.0
B3,4.0
B4,0.0
B5,1.0
B6,11.0
C1,11.0
C2,6.0
C3,11.0
C4,5.0
C5,11.0
C6,9.0
D1,12.0
D2,12.0
D3,8.0
D4,4.0
D5,-2.0
D6,14.0
E1,15.0
E2,8.0
E3,17.0
E4,7.0
E5,14.0
E6,2.0
F1,20.0
F2,9.0
F3,8.0
F4,-2.0
F5,-3.0
F6,16.0
