Well,Luminescence
A1,8.0
A2,7.0
A3,11.0
A4,-4.0
A5,4.0
A6,1.0
B1,0.0
B2,6.0
B3,7.0
B4,3.0
B5,0.0
B6,3.0
C1,4.0
C2,4.0
C3,12.0
C4,9.0
C5,0.0
C6,-6.0
D1,16.0
D2,8.0
D3,5.0
D4,10.0
D5,5.0
D6,16.0
E1,4.0
E2,4.0
E3,18.0
E4,3.0
E5,-1.0
E6,2.0
F1,3.0
F2,9.0
F3,6.0
F4,9.0
F5,4.0
F6,13.0
