Well,Luminescence
A1,-1.0
A2,5.0
A3,3.0
A4,0.0
A5,-6.0
A6,-1.0
B1,-2.0
B2,2.0
B3,11.0
B4,0.0
B5,-3.0
B6,0.0
C1,12.0
C2,4.0
C3,7.0
C4,0.0
C5,18.0
C6,15.0
D1,8.0
D2,1.0
D3,7.0
D4,3.0
D5,16.0
D6,7.0
E1,7.0
E2,3.0
E3,8.0
E4,13.0
E5,0.0
E6,4.0
F1,13.0
F2,9.0
F3,21.0
F4,17.0
F5,10.0
F6,3.0
