Well,OD 600:nanometer
A1,0.061377777578041234
A2,0.06157939515802742
A3,0.04909304570006519
A4,0.04950144434885573
A5,0.05090022172987652
A6,0.048709600772780345
B1,0.06134636744660667
B2,0.05847314507508165
B3,0.050687739557800184
B4,0.0522549588815541
B5,0.05084386595100057
B6,0.049706715432063946
C1,0.04745243209120645
C2,0.049370083667601934
C3,0.049463752828456
C4,0.05042024779391991
C5,0.05222171525254536
C6,0.05285777415347688
D1,0.515488567838612
D2,0.4781857262634691
D3,0.04782892179810084
D4,0.10936919187903126
D5,0.11469458589190788
D6,0.047798430407362216
E1,0.49829683150941706
E2,0.46151803141626413
E3,0.0485067672577259
E4,0.11016136361883573
E5,0.12182470870529821
E6,0.04950386188557145
F1,0.5002031117449368
F2,0.4722467050492807
F3,0.0487560116476429
F4,0.058745583561064844
F5,0.08523290447103966
F6,0.048787129890569755
