Well,Luminescence
A1,14.0
A2,11.0
A3,1.0
A4,2.0
A5,5.0
A6,-1.0
B1,-1.0
B2,-2.0
B3,6.0
B4,18.0
B5,6.0
B6,3.0
C1,-4.0
C2,-1.0
C3,11.0
C4,6.0
C5,13.0
C6,8.0
D1,14.0
D2,1.0
D3,-4.0
D4,2.0
D5,10.0
D6,3.0
E1,11.0
E2,11.0
E3,9.0
E4,-2.0
E5,-3.0
E6,-5.0
F1,0.0
F2,9.0
F3,-3.0
F4,2.0
F5,2.0
F6,-4.0
