Well,Luminescence
A1,-20.0
A2,0.0
A3,-4.0
A4,2.0
A5,0.0
A6,-7.0
B1,-6.0
B2,10.0
B3,-7.0
B4,6.0
B5,2.0
B6,-1.0
C1,-3.0
C2,6.0
C3,-2.0
C4,4.0
C5,-5.0
C6,1.0
D1,4.0
D2,-12.0
D3,-5.0
D4,0.0
D5,-1.0
D6,6.0
E1,-9.0
E2,-12.0
E3,-1.0
E4,-3.0
E5,-4.0
E6,8.0
F1,8.0
F2,-7.0
F3,-11.0
F4,6.0
F5,-10.0
F6,7.0
