Well,Luminescence
A1,4.0
A2,4.0
A3,7.0
A4,9.0
A5,2.0
A6,1.0
B1,11.0
B2,1.0
B3,10.0
B4,-6.0
B5,14.0
B6,9.0
C1,3.0
C2,0.0
C3,4.0
C4,22.0
C5,1.0
C6,-1.0
D1,1.0
D2,5.0
D3,8.0
D4,0.0
D5,9.0
D6,13.0
E1,-5.0
E2,8.0
E3,6.0
E4,8.0
E5,0.0
E6,0.0
F1,5.0
F2,2.0
F3,-3.0
F4,12.0
F5,20.0
F6,-7.0
