Well,OD 600:nanometer
A1,0.6589473505731782
A2,0.6041275731812921
A3,0.04865062830325161
A4,0.04768116431375594
A5,0.049702894395901
A6,0.04837123188541568
B1,0.6016352037668481
B2,0.5730864107934484
B3,0.048470340494129675
B4,0.05001635802236139
B5,0.050899887659594634
B6,0.0502459169054359
C1,0.6300104647246074
C2,0.593425898775866
C3,0.04968186811404831
C4,0.050543180542700655
C5,0.04920740448463124
C6,0.050665813026072544
D1,0.5970255512734263
D2,0.6593465849177779
D3,0.04906388716998369
D4,0.5273694135057062
D5,0.06908776000904145
D6,0.04852969830618754
E1,0.5375244896401331
E2,0.5669295056714349
E3,0.0518166459439328
E4,0.5756991536165325
E5,0.06923383705865929
E6,0.050429162828874476
F1,0.5586799197278149
F2,0.5405435623942942
F3,0.05001138945960776
F4,0.6115794448137234
F5,0.0713076246146238
F6,0.04958755978868018
