Well,Luminescence
A1,8.0
A2,14.0
A3,13.0
A4,9.0
A5,7.0
A6,13.0
B1,1.0
B2,14.0
B3,17.0
B4,5.0
B5,21.0
B6,10.0
C1,7.0
C2,3.0
C3,5.0
C4,9.0
C5,7.0
C6,2.0
D1,8.0
D2,-3.0
D3,1.0
D4,6.0
D5,9.0
D6,0.0
E1,12.0
E2,-2.0
E3,8.0
E4,7.0
E5,2.0
E6,15.0
F1,8.0
F2,16.0
F3,13.0
F4,145.0
F5,-8.0
F6,0.0
