Well,OD 600:nanometer
A1,0.6489844477939516
A2,0.625783970516011
A3,0.04717183316131081
A4,0.047710291130436344
A5,0.04975629676547175
A6,0.04841746878055678
B1,0.5862865639404885
B2,0.5642370305005334
B3,0.04820899070575293
B4,0.05002877773651254
B5,0.050727612653108226
B6,0.05015365887365304
C1,0.6005944863969483
C2,0.5562254953098802
C3,0.04961171518519842
C4,0.05037136776677381
C5,0.04908693074644985
C6,0.05201116025583329
D1,0.6289640952989053
D2,0.6722273095005563
D3,0.048937534902043646
D4,0.3855119661406273
D5,0.0701767150268637
D6,0.0485375926306203
E1,0.5487777390349678
E2,0.6004597122659158
E3,0.049908043577609085
E4,0.45084378869922154
E5,0.0688472247348415
E6,0.05036801964916405
F1,0.6268164056269736
F2,0.5817321244108294
F3,0.04977338355468344
F4,0.5183849666249991
F5,0.07003174755904544
F6,0.04957260023091617
