Well,Luminescence
A1,19.0
A2,8.0
A3,16.0
A4,22.0
A5,19.0
A6,1.0
B1,9.0
B2,10.0
B3,17.0
B4,-3.0
B5,6.0
B6,21.0
C1,9.0
C2,7.0
C3,17.0
C4,13.0
C5,2.0
C6,12.0
D1,17.0
D2,23.0
D3,12.0
D4,18.0
D5,18.0
D6,13.0
E1,18.0
E2,25.0
E3,9.0
E4,15.0
E5,8.0
E6,11.0
F1,13.0
F2,13.0
F3,13.0
F4,16.0
F5,9.0
F6,4.0
