Well,OD 600:nanometer
A1,0.6574148570288261
A2,0.6157178317231733
A3,0.04878376873201362
A4,0.047691198127380624
A5,0.04974868014088336
A6,0.04837271759877981
B1,0.6618955982296636
B2,0.6087194123034975
B3,0.04856691678773043
B4,0.05016039217995184
B5,0.0529316301758079
B6,0.050374110011242985
C1,0.6889754668057877
C2,0.6315119075150626
C3,0.04973093434091254
C4,0.05076778218284216
C5,0.04933540405587652
C6,0.05078258062307954
D1,0.5800487884075757
D2,0.6415956593310439
D3,0.04908815555893284
D4,0.6106778808301537
D5,0.06953520804924924
D6,0.04870923508760548
E1,0.5516646610119358
E2,0.5201105999431251
E3,0.05083499094590621
E4,0.6367855760925715
E5,0.07010288914294899
E6,0.05045841585179807
F1,0.6141301791531856
F2,0.5277981685341956
F3,0.04994802972898445
F4,0.6752717478593488
F5,0.07254574779130021
F6,0.04963838080687124
