Well,Luminescence
A1,-2.0
A2,-1.0
A3,3.0
A4,-4.0
A5,-2.0
A6,-4.0
B1,-4.0
B2,0.0
B3,-3.0
B4,5.0
B5,5.0
B6,-3.0
C1,-6.0
C2,6.0
C3,6.0
C4,2.0
C5,1.0
C6,4.0
D1,-7.0
D2,-5.0
D3,-2.0
D4,-1.0
D5,3.0
D6,-5.0
E1,8.0
E2,-7.0
E3,0.0
E4,6.0
E5,10.0
E6,0.0
F1,-7.0
F2,-6.0
F3,11.0
F4,-3.0
F5,8.0
F6,1.0
